time,position,velocity,effort
0.0,-6.496502919617342e-06,-0.0001221266866195947,0.0
0.01,-7.398849902529037e-06,-5.67897004657425e-05,219.57421875
0.02,0.0011930023320019245,0.10253884643316269,157167.78125
0.03,0.0032443932723253965,0.1759326457977295,193566.125
0.04,0.0059142461977899075,0.2300402969121933,246401.453125
0.05,0.009049472399055958,0.2713373303413391,309246.0
0.06,0.012549716047942638,0.3043873906135559,377920.59375
0.07,0.016354775056242943,0.3327178955078125,449366.8125
0.08,0.020435459911823273,0.3591225743293762,520960.46875
0.09,0.02478903718292713,0.38594940304756165,590345.5625
0.1,0.029429059475660324,0.4147113859653473,655215.125
0.11,0.03438355773687363,0.4466613531112671,713852.625
0.12,0.039690107107162476,0.4826217293739319,764585.25
0.13,0.04539031162858009,0.5229239463806152,806026.625
0.14,0.051528505980968475,0.5677716135978699,837221.3125
0.15,0.05814807116985321,0.6170517802238464,857300.875
0.16,0.06528107076883316,0.6691557765007019,865727.25
0.17,0.07296043634414673,0.7243848443031311,863628.25
0.18,0.08121663331985474,0.782535195350647,850208.625
0.19,0.09006424993276596,0.841895580291748,825215.3125
0.2,0.09950485825538635,0.9011259078979492,790140.6875
0.21,0.10952472686767578,0.9586683511734009,746301.1875
0.22,0.11981583386659622,0.9556369185447693,695460.625
0.23,0.13043680787086487,0.9886513948440552,701125.4375
0.24,0.14134082198143005,1.0235984325408936,665796.625
0.25,0.15265657007694244,1.0683852434158325,624289.0625
0.26,0.16438889503479004,1.1109718084335327,566766.0
0.27,0.17616571485996246,0.9829603433609009,505194.625
0.28,0.1852942258119583,0.6984806060791016,613553.6875
0.29,0.19330710172653198,0.6611913442611694,918106.25
0.3,0.20032407343387604,0.5807178616523743,992202.25
0.31,0.2068239450454712,0.5413562655448914,1124421.125
0.32,0.21305109560489655,0.5209847092628479,1223284.75
0.33,0.21917569637298584,0.5148476958274841,1307248.875
0.34,0.22531995177268982,0.5191447734832764,1378517.0
0.35000000000000003,0.23157966136932373,0.5321288108825684,1439056.0
0.36,0.23887239396572113,0.803333580493927,1489176.25
0.37,0.24540585279464722,0.3583483397960663,1265580.5
0.38,0.25115835666656494,0.48045799136161804,1769563.875
0.39,0.25750941038131714,0.5303339958190918,1718166.5
0.4,0.26323118805885315,0.44568005204200745,1730024.75
0.41000000000000003,0.26794999837875366,0.003718051128089428,1885852.0
0.42,0.26794999837875366,0.001175172976218164,2414032.0
0.43,0.26794999837875366,0.0010972964810207486,2573574.75
0.44,0.26794999837875366,0.0009334327187389135,2730652.5
0.45,0.26794999837875366,0.00087542156688869,2887816.25
0.46,0.26794999837875366,0.0007626021979376674,3044874.25
0.47000000000000003,0.26794999837875366,0.000685958017129451,3201987.75
0.48,0.26794999837875366,0.0006420149002224207,3359064.25
0.49,0.26794999837875366,0.0006038673454895616,3516107.75
0.5,0.26794999837875366,0.0005956558743491769,3673146.5
0.51,0.26794999837875366,0.0006013938691467047,3830154.0
0.52,0.26794999837875366,0.0007185774156823754,3987148.5
0.53,0.26794999837875366,0.0006182830547913909,4144031.25
0.54,0.26794999837875366,-0.00021861516870558262,4301131.5
0.55,0.26794999837875366,0.00013150001177564263,4458968.0
0.56,0.26794999837875366,0.00029100486426614225,4615618.5
0.5700000000000001,0.26794999837875366,-0.07110355794429779,4772459.5
0.58,0.26794999837875366,-0.006249978672713041,5000853.5
0.59,0.2678939998149872,-0.024523384869098663,5093000.5
0.6,0.267911821603775,0.0070921797305345535,5269113.5
0.61,0.26794999837875366,-0.008242099545896053,5394231.0
0.62,0.26794999837875366,-0.011282073333859444,5565992.0
0.63,0.26788392663002014,0.009098468348383904,5726032.5
0.64,0.26794999837875366,0.0013255238300189376,5863642.5
0.65,0.26794999837875366,0.0011264504864811897,6027424.5
0.66,0.26794999837875366,0.0006399577250704169,6184623.5
0.67,0.26794999837875366,0.0011604202445596457,6342110.0
0.68,0.26794999837875366,0.001229015295393765,6498589.0
0.6900000000000001,0.26794999837875366,0.0012612626887857914,6655521.0
0.7000000000000001,0.26794999837875366,0.0010416520526632667,6812488.0
0.71,0.26794999837875366,-0.007602181285619736,6969708.5
0.72,0.26794999837875366,0.0025248778983950615,7135351.5
0.73,0.26794999837875366,0.011580163612961769,7282225.0
0.74,0.26794999837875366,0.012952391058206558,7430170.5
0.75,0.26794999837875366,0.006845567375421524,7585797.5
0.76,0.26794999837875366,0.0059634018689394,7748905.0
0.77,0.26794999837875366,0.0012644985690712929,7906786.5
0.78,0.26794999837875366,-0.0007006628438830376,8068486.0
0.79,0.26794999837875366,-0.024801451712846756,8227450.5
0.8,0.26794999837875366,0.001900872215628624,8408552.0
0.81,0.26794999837875366,0.004128893371671438,8538849.0
0.8200000000000001,0.26794999837875366,0.002540147863328457,8693621.0
0.8300000000000001,0.26794999837875366,-0.008911008015275002,8852210.0
0.84,0.26794999837875366,-0.0033590858802199364,9020661.0
0.85,0.26794999837875366,-0.004811103455722332,9172109.0
0.86,0.26794999837875366,-0.004337602760642767,9330561.0
0.87,0.26794999837875366,-0.003941175527870655,9487088.0
0.88,0.26794999837875366,0.007447071373462677,9643691.0
0.89,0.26794999837875366,-0.003681439906358719,9789303.0
0.9,0.26794999837875366,-0.0028364926110953093,9957431.0
0.91,0.26794999837875366,-0.02987302839756012,10113586.0
0.92,0.26794999837875366,0.012337561696767807,10297623.0
0.93,0.26794999837875366,-0.005472173914313316,10412412.0
0.9400000000000001,0.26794999837875366,-0.0077532436698675156,10587222.0
0.9500000000000001,0.26794999837875366,-0.013245503418147564,10746503.0
0.96,0.26794999837875366,0.0023149745538830757,10908996.0
0.97,0.26794999837875366,0.027989163994789124,11050434.0
0.98,0.26794999837875366,0.016512690111994743,11181761.0
0.99,0.26794999837875366,-0.006128503009676933,11350237.0
1.0,0.26794999837875366,0.004466215614229441,11529880.0
1.01,0.26794999837875366,-0.012602739967405796,11676283.0
1.02,0.26794999837875366,0.022183921188116074,11850353.0
1.03,0.26794999837875366,-0.006679639220237732,11972566.0
1.04,0.26794999837875366,0.010650862008333206,12158431.0
1.05,0.26794999837875366,-0.0033891182392835617,12298098.0
1.06,0.26794999837875366,0.009468503296375275,12469139.0
1.07,0.26794999837875366,0.003550937632098794,12613281.0
1.08,0.26794999837875366,0.022733643651008606,12776200.0
1.09,0.26794999837875366,0.009573759511113167,12914015.0
1.1,0.26794999837875366,0.016082512214779854,13084176.0
1.11,0.26794999837875366,0.006527516059577465,13234667.0
1.12,0.26794999837875366,-0.0018052104860544205,13401222.0
1.1300000000000001,0.26794999837875366,0.0027873124927282333,13566556.0
1.1400000000000001,0.26794999837875366,0.016874559223651886,13718962.0
1.1500000000000001,0.26794999837875366,0.0024337286595255136,13861875.0
1.16,0.26794999837875366,0.017960036173462868,14033316.0
1.17,0.26794999837875366,-0.004300689324736595,14174791.0
1.18,0.26794999837875366,0.03414874151349068,14354050.0
1.19,0.26794999837875366,0.012272370979189873,14472601.0
1.2,0.26794999837875366,0.031730446964502335,14651478.0
1.21,0.26794999837875366,0.009263463318347931,14789021.0
1.22,0.26794999837875366,0.01464078389108181,14968486.0
1.23,0.26794999837875366,0.018288813531398773,15120110.0
1.24,0.26794999837875366,0.00023502903059124947,15273460.0
1.25,0.26794999837875366,0.0025069862604141235,15448516.0
1.26,0.26794999837875366,0.018258364871144295,15603243.0
1.27,0.26794999837875366,0.006501303985714912,15744491.0
1.28,0.26794999837875366,0.02974640764296055,15913250.0
1.29,0.26794999837875366,0.0213715098798275,16047004.0
1.3,0.26794999837875366,0.018144425004720688,16212380.0
1.31,0.26794999837875366,-0.01764877513051033,16372606.0
1.32,0.26794999837875366,-0.0012912405654788017,16565398.0
1.33,0.26794999837875366,0.0037061283364892006,16706042.0
1.34,0.26794999837875366,0.024536671116948128,16858044.0
1.35,0.26794999837875366,-0.02323221042752266,16994212.0
1.36,0.26794999837875366,-0.012080271728336811,17198982.0
1.37,0.26794999837875366,0.02026309072971344,17344830.0
1.3800000000000001,0.26794999837875366,0.024220285937190056,17469488.0
1.3900000000000001,0.26794999837875366,0.005238266661763191,17622530.0
1.4000000000000001,0.26794999837875366,0.027179516851902008,17798510.0
1.41,0.26794999837875366,0.000353504903614521,17933572.0
1.42,0.26794999837875366,-0.028185177594423294,18117396.0
1.43,0.26794999837875366,-0.01364791952073574,18302934.0
1.44,0.26794999837875366,-0.02521425485610962,18445398.0
1.45,0.26794999837875366,0.000827595591545105,18613964.0
1.46,0.26794999837875366,0.0027112532407045364,18744924.0
1.47,0.26794999837875366,0.016375117003917694,18900038.0
1.48,0.26794999837875366,-0.021747156977653503,19043372.0
1.49,0.26794999837875366,0.027856752276420593,19238498.0
1.5,0.26794999837875366,-0.01788075640797615,19345894.0
1.51,0.26794999837875366,0.02589726820588112,19548632.0
1.52,0.26794999837875366,0.016571596264839172,19504854.0
1.53,0.26794999837875366,-0.023326802998781204,19514180.0
1.54,0.26794999837875366,0.0155020235106349,19554078.0
1.55,0.26794999837875366,0.01562053244560957,19515250.0
1.56,0.26794999837875366,0.012019958347082138,19515132.0
1.57,0.26794999837875366,0.005866447929292917,19518732.0
1.58,0.26794999837875366,-0.01637975312769413,19524886.0
1.59,0.26794999837875366,-0.0008126588072627783,19547132.0
1.6,0.26794999837875366,-0.01644819602370262,19531564.0
1.61,0.26794999837875366,0.01587134413421154,19547200.0
1.62,0.26794999837875366,0.0025248900055885315,19514880.0
1.6300000000000001,0.26794999837875366,0.012804241850972176,19528228.0
1.6400000000000001,0.26794999837875366,0.03484353795647621,19517948.0
1.6500000000000001,0.26794999837875366,0.004740289878100157,19495908.0
1.6600000000000001,0.26794999837875366,-0.0044121891260147095,19526012.0
1.67,0.26794999837875366,-0.01224345713853836,19535164.0
1.68,0.26794999837875366,0.016517795622348785,19542996.0
1.69,0.26794999837875366,-0.008800722658634186,19514234.0
1.7,0.26794999837875366,-0.017177872359752655,19539552.0
1.71,0.26794999837875366,-0.0007857838645577431,19547930.0
1.72,0.26794999837875366,0.01778152398765087,19531538.0
1.73,0.26794999837875366,0.008381967432796955,19512970.0
1.74,0.26794999837875366,-0.0174344964325428,19522370.0
1.75,0.26794999837875366,-0.006190831772983074,19548186.0
1.76,0.26794999837875366,0.009575467556715012,19536942.0
1.77,0.26794999837875366,0.0064156074076890945,19521176.0
1.78,0.26794999837875366,0.01212877593934536,19524336.0
1.79,0.26794999837875366,0.0028148703277111053,19518624.0
1.8,0.26794999837875366,0.003327722894027829,19527938.0
